date,value
2016-04-08,25.29
2016-04-09,25.32
2016-04-10,24.86
2016-04-11,24.86
2016-04-12,24.84
2016-04-13,24.76
2016-04-14,24.52
2016-04-15,24.52
2016-04-16,24.30
2016-04-17,24.35
2016-04-18,24.36
2016-04-19,24.35
2016-04-20,24.51
2016-04-21,24.67
2016-04-22,24.71
2016-04-23,24.63
2016-04-24,24.55
2016-04-25,24.70
2016-04-26,24.77
2016-04-27,24.61
2016-04-28,24.70
2016-04-29,24.69
2016-04-30,25.12
2016-05-01,25.31
2016-05-02,25.26
2016-05-03,25.21
2016-05-04,25.29
2016-05-05,25.31
2016-05-06,25.34
2016-05-07,25.09
2016-05-08,25.04
2016-05-09,25.05
2016-05-10,25.03
2016-05-11,25.06
2016-05-12,24.98
2016-05-13,24.98
2016-05-14,25.15
2016-05-15,25.15
2016-05-16,25.10
2016-05-17,25.09
2016-05-18,25.12
2016-05-19,25.24
2016-05-20,25.27
2016-05-21,25.16
2016-05-22,25.42
2016-05-23,25.55
2016-05-24,25.66
2016-05-25,25.67
2016-05-26,25.69
2016-05-27,25.71
2016-05-28,25.89
2016-05-29,25.97
2016-05-30,25.99
2016-05-31,26.03
2016-06-01,26.06
2016-06-02,26.07
2016-06-03,26.08
2016-06-04,26.09
2016-06-05,25.91
2016-06-06,25.89
2016-06-07,25.87
2016-06-08,25.86
2016-06-09,25.86
2016-06-10,25.86
2016-06-11,25.96
2016-06-12,25.87
2016-06-13,25.86
2016-06-14,25.88
2016-06-15,25.89
2016-06-16,25.89
2016-06-17,25.89
2016-06-18,25.67
2016-06-19,25.90
2016-06-20,26.00
2016-06-21,25.89
2016-06-22,25.88
2016-06-23,25.98
2016-06-24,26.09
2016-06-25,26.27
2016-06-26,26.13
2016-06-27,26.12
2016-06-28,26.31
2016-06-29,26.42
2016-06-30,26.40
2016-07-01,26.43
2016-07-02,26.49
2016-07-03,26.86
2016-07-04,26.91
2016-07-05,26.98
2016-07-06,26.86
2016-07-07,26.94
2016-07-08,26.95
2016-07-09,27.00
2016-07-10,26.56
2016-07-11,26.57
2016-07-12,26.57
2016-07-13,26.71
2016-07-14,26.69
2016-07-15,26.64
2016-07-16,26.52
2016-07-17,26.53
2016-07-18,26.50
2016-07-19,26.47
2016-07-20,26.46
2016-07-21,26.46
2016-07-22,26.50
2016-07-23,26.53
2016-07-24,26.64
2016-07-25,26.64
2016-07-26,26.61
2016-07-27,26.58
2016-07-28,26.55
2016-07-29,26.50
2016-07-30,26.45
2016-07-31,26.53
2016-08-01,26.53
2016-08-02,26.56
2016-08-03,26.59
2016-08-04,26.62
2016-08-05,26.65
2016-08-06,26.57
2016-08-07,26.57
2016-08-08,26.57
2016-08-09,26.57
2016-08-10,26.58
2016-08-11,26.61
2016-08-12,26.64
2016-08-13,26.78
2016-08-14,26.86
2016-08-15,26.74
2016-08-16,26.86
2016-08-17,26.87
2016-08-18,26.80
2016-08-19,26.77
2016-08-20,26.76
2016-08-21,26.75
2016-08-22,26.86
2016-08-23,26.74
2016-08-24,26.73
2016-08-25,26.61
2016-08-26,26.59
2016-08-27,26.58
2016-08-28,26.55
2016-08-29,26.54
2016-08-30,26.51
2016-08-31,26.49
2016-09-01,26.62
2016-09-02,26.65
2016-09-03,26.69
2016-09-04,26.67
2016-09-05,26.58
2016-09-06,26.58
2016-09-07,26.56
2016-09-08,26.55
2016-09-09,26.48
2016-09-10,26.31
2016-09-11,26.29
2016-09-12,26.29
2016-09-13,26.27
2016-09-14,26.28
2016-09-15,26.30
2016-09-16,26.33
2016-09-17,26.46
2016-09-18,26.54
2016-09-19,26.63
2016-09-20,26.66
2016-09-21,26.57
2016-09-22,26.58
2016-09-23,26.58
2016-09-24,26.47
2016-09-25,26.41
2016-09-26,26.34
2016-09-27,26.34
2016-09-28,26.43
2016-09-29,26.42
2016-09-30,26.42
2016-10-01,26.46
2016-10-02,26.56
2016-10-03,26.62
2016-10-04,26.60
2016-10-05,26.59
2016-10-06,26.57
2016-10-07,26.57
2016-10-08,26.58
2016-10-09,26.56
2016-10-10,26.50
2016-10-11,26.47
2016-10-12,26.51
2016-10-13,26.51
2016-10-14,26.50
2016-10-15,26.54
2016-10-16,26.56
2016-10-17,26.61
2016-10-18,26.64
2016-10-19,26.59
2016-10-20,26.58
2016-10-21,26.58
2016-10-22,26.57
2016-10-23,26.54
2016-10-24,26.54
2016-10-25,26.55
2016-10-26,26.54
2016-10-27,26.54
2016-10-28,26.57
2016-10-29,26.62
2016-10-30,26.68
2016-10-31,26.64
2016-11-01,26.58
2016-11-02,26.59
2016-11-03,26.59
2016-11-04,26.54
2016-11-05,26.52
2016-11-06,26.43
2016-11-07,26.42
2016-11-08,26.41
2016-11-09,26.42
2016-11-10,26.44
2016-11-11,26.49
2016-11-12,26.49
2016-11-13,26.58
2016-11-14,26.67
2016-11-15,26.69
2016-11-16,26.69
2016-11-17,26.69
2016-11-18,26.69
2016-11-19,26.69
2016-11-20,26.62
2016-11-21,26.61
2016-11-22,26.69
2016-11-23,26.74
2016-11-24,26.78
2016-11-25,26.83
2016-11-26,26.85
2016-11-27,26.98
2016-11-28,27.05
2016-11-29,27.07
2016-11-30,27.04
2016-12-01,27.03
2016-12-02,26.97
2016-12-03,26.90
2016-12-04,26.72
2016-12-05,26.58
2016-12-06,26.59
2016-12-07,26.60
2016-12-08,26.73
2016-12-09,26.69
2016-12-10,26.77
2016-12-11,26.88
2016-12-12,26.95
2016-12-13,26.95
2016-12-14,26.94
2016-12-15,26.81
2016-12-16,26.90
2016-12-17,26.87
2016-12-18,26.95
2016-12-19,26.94
2016-12-20,26.93
2016-12-21,26.92
2016-12-22,26.91
2016-12-23,26.89
2016-12-24,26.83
2016-12-25,26.71
2016-12-26,26.60
2016-12-27,26.49
2016-12-28,26.47
2016-12-29,26.44
2016-12-30,26.42
2016-12-31,26.44
2017-01-01,26.46
2017-01-02,26.52
2017-01-03,26.62
2017-01-04,26.60
2017-01-05,26.56
2017-01-06,26.56
2017-01-07,26.58
2017-01-08,26.62
2017-01-09,26.64
2017-01-10,26.63
2017-01-11,26.66
2017-01-12,26.62
2017-01-13,26.62
2017-01-14,26.50
2017-01-15,26.51
2017-01-16,26.46
2017-01-17,26.40
2017-01-18,26.33
2017-01-19,26.39
2017-01-20,26.35
2017-01-21,26.43
2017-01-22,26.32
2017-01-23,26.32
2017-01-24,26.34
2017-01-25,26.44
2017-01-26,26.48
2017-01-27,26.45
2017-01-28,26.46
2017-01-29,26.53
2017-01-30,26.53
2017-01-31,26.52
2017-02-01,26.35
2017-02-02,26.30
2017-02-03,26.34
2017-02-04,26.37
2017-02-05,26.30
2017-02-06,26.29
2017-02-07,26.34
2017-02-08,26.44
2017-02-09,26.54
2017-02-10,26.56
2017-02-11,26.59
2017-02-12,26.65
2017-02-13,26.75
2017-02-14,26.81
2017-02-15,26.86
2017-02-16,26.87
2017-02-17,26.89
2017-02-18,26.88
2017-02-19,26.81
2017-02-20,26.81
2017-02-21,26.80
2017-02-22,26.79
2017-02-23,26.78
2017-02-24,26.78
2017-02-25,26.77
2017-02-26,26.80
2017-02-27,26.83
2017-02-28,26.83
2017-03-01,26.83
2017-03-02,26.83
2017-03-03,26.94
2017-03-04,26.85
2017-03-05,26.83
2017-03-06,26.79
2017-03-07,26.78
2017-03-08,26.78
2017-03-09,26.79
2017-03-10,26.74
2017-03-11,26.82
2017-03-12,26.88
2017-03-13,26.89
2017-03-14,26.89
2017-03-15,26.91
2017-03-16,26.92
2017-03-17,26.93
2017-03-18,26.96
2017-03-19,26.95
2017-03-20,26.98
2017-03-21,27.00
2017-03-22,27.00
2017-03-23,26.99
2017-03-24,26.98
2017-03-25,26.95
2017-03-26,27.07
2017-03-27,27.06
2017-03-28,27.08
2017-03-29,27.03
2017-03-30,26.99
2017-03-31,27.00
2017-04-01,27.02
2017-04-02,27.00
2017-04-03,27.00
2017-04-04,27.02
2017-04-05,27.04
2017-04-06,27.10
2017-04-07,27.11
2017-04-08,27.11
2017-04-09,27.07
2017-04-10,27.10
2017-04-11,27.07
2017-04-12,27.21
2017-04-13,27.24
2017-04-14,27.22
2017-04-15,27.07
2017-04-16,27.03
2017-04-17,27.06
2017-04-18,27.08
2017-04-19,27.01
2017-04-20,27.01
2017-04-21,27.02
2017-04-22,27.18
2017-04-23,27.19
2017-04-24,27.14
2017-04-25,27.04
2017-04-26,27.04
2017-04-27,27.08
2017-04-28,27.12
2017-04-29,27.16
2017-04-30,27.34
2017-05-01,27.34
2017-05-02,27.47
2017-05-03,27.51
2017-05-04,27.48
2017-05-05,27.49
2017-05-06,27.62
2017-05-07,27.53
2017-05-08,27.58
2017-05-09,27.58
2017-05-10,27.56
2017-05-11,27.59
2017-05-12,27.59
2017-05-13,27.49
2017-05-14,27.39
2017-05-15,27.40
2017-05-16,27.43
2017-05-17,27.48
2017-05-18,27.51
2017-05-19,27.54
2017-05-20,27.58
2017-05-21,27.70
2017-05-22,27.72
2017-05-23,27.72
2017-05-24,27.72
2017-05-25,27.73
2017-05-26,27.73
2017-05-27,27.80
2017-05-28,27.85
2017-05-29,27.85
2017-05-30,27.87
2017-05-31,27.87
2017-06-01,27.84
2017-06-02,27.84
2017-06-03,27.79
2017-06-04,27.72
2017-06-05,27.73
2017-06-06,27.64
2017-06-07,27.64
2017-06-08,27.66
2017-06-09,27.64
2017-06-10,27.47
2017-06-11,27.54
2017-06-12,27.52
2017-06-13,27.56
2017-06-14,27.62
2017-06-15,27.63
2017-06-16,27.68
2017-06-17,27.78
2017-06-18,27.64
2017-06-19,27.61
2017-06-20,27.63
2017-06-21,27.60
2017-06-22,27.61
2017-06-23,27.60
2017-06-24,27.62
2017-06-25,27.78
2017-06-26,27.74
2017-06-27,27.75
2017-06-28,27.70
2017-06-29,27.65
2017-06-30,27.51
2017-07-01,27.48
2017-07-02,27.48
2017-07-03,27.52
2017-07-04,27.50
2017-07-05,27.46
2017-07-06,27.42
2017-07-07,27.50
2017-07-08,27.48
2017-07-09,27.34
2017-07-10,27.32
2017-07-11,27.30
2017-07-12,27.33
2017-07-13,27.38
2017-07-14,27.42
2017-07-15,27.43
2017-07-16,27.48
2017-07-17,27.52
2017-07-18,27.58
2017-07-19,27.62
2017-07-20,27.60
2017-07-21,27.66
2017-07-22,27.66
2017-07-23,27.66
2017-07-24,27.69
2017-07-25,27.75
2017-07-26,27.71
2017-07-27,27.74
2017-07-28,27.63
2017-07-29,27.56
2017-07-30,27.60
2017-07-31,27.50
2017-08-01,27.37
2017-08-02,27.42
2017-08-03,27.46
2017-08-04,27.57
2017-08-05,27.66
2017-08-06,27.78
2017-08-07,27.94
2017-08-08,28.10
2017-08-09,28.16
2017-08-10,28.18
2017-08-11,28.22
2017-08-12,28.35
2017-08-13,28.13
2017-08-14,28.05
2017-08-15,28.01
2017-08-16,28.07
2017-08-17,28.15
2017-08-18,28.21
2017-08-19,28.23
2017-08-20,28.45
2017-08-21,28.64
2017-08-22,28.75
2017-08-23,28.77
2017-08-24,28.75
2017-08-25,28.71
2017-08-26,28.78
2017-08-27,28.86
2017-08-28,28.78
2017-08-29,28.73
2017-08-30,28.71
2017-08-31,28.69
2017-09-01,28.74
2017-09-02,28.62
2017-09-03,28.59
2017-09-04,28.60
2017-09-05,28.61
2017-09-06,28.62
2017-09-07,28.63
2017-09-08,28.61
2017-09-09,28.70
2017-09-10,28.72
2017-09-11,28.73
2017-09-12,28.72
2017-09-13,28.76
2017-09-14,28.85
2017-09-15,28.90
2017-09-16,28.94
2017-09-17,29.04
2017-09-18,29.07
2017-09-19,29.19
2017-09-20,29.17
2017-09-21,29.04
2017-09-22,29.05
2017-09-23,29.01
2017-09-24,28.88
2017-09-25,28.86
2017-09-26,28.80
2017-09-27,28.76
2017-09-28,28.74
2017-09-29,28.65
2017-09-30,28.50
2017-10-01,28.53
2017-10-02,28.53
2017-10-03,28.40
2017-10-04,28.47
2017-10-05,28.54
2017-10-06,28.60
2017-10-07,28.67
2017-10-08,28.51
2017-10-09,28.53
2017-10-10,28.63
2017-10-11,28.63
2017-10-12,28.68
2017-10-13,28.72
2017-10-14,28.78
2017-10-15,29.02
2017-10-16,29.05
2017-10-17,29.08
2017-10-18,29.08
2017-10-19,28.98
2017-10-20,28.99
2017-10-21,28.87
2017-10-22,28.78
2017-10-23,28.77
2017-10-24,28.77
2017-10-25,28.81
2017-10-26,28.78
2017-10-27,28.62
2017-10-28,28.67
2017-10-29,28.60
2017-10-30,28.63
2017-10-31,28.66
2017-11-01,28.66
2017-11-02,28.81
2017-11-03,28.96
2017-11-04,28.98
2017-11-05,29.02
2017-11-06,29.04
2017-11-07,29.04
2017-11-08,29.05
2017-11-09,29.06
2017-11-10,29.04
2017-11-11,29.19
2017-11-12,29.22
2017-11-13,29.24
2017-11-14,29.25
2017-11-15,29.19
2017-11-16,29.20
2017-11-17,29.25
2017-11-18,29.21
2017-11-19,29.20
2017-11-20,29.14
2017-11-21,29.11
2017-11-22,29.15
2017-11-23,29.11
2017-11-24,29.01
2017-11-25,28.96
2017-11-26,28.95
2017-11-27,28.98
2017-11-28,28.97
2017-11-29,28.98
2017-11-30,28.98
2017-12-01,29.05
2017-12-02,28.95
2017-12-03,29.04
2017-12-04,29.05
2017-12-05,29.06
2017-12-06,29.06
2017-12-07,29.06
2017-12-08,29.06
2017-12-09,29.23
2017-12-10,29.21
2017-12-11,29.21
2017-12-12,29.20
2017-12-13,29.19
2017-12-14,29.18
2017-12-15,29.16
2017-12-16,29.13
2017-12-17,29.08
2017-12-18,29.05
2017-12-19,29.03
2017-12-20,29.01
2017-12-21,28.99
2017-12-22,28.98
2017-12-23,28.94
2017-12-24,28.82
2017-12-25,28.78
2017-12-26,28.83
2017-12-27,28.83
2017-12-28,28.81
2017-12-29,28.79
2017-12-30,28.77
2017-12-31,28.84
2018-01-01,28.81
2018-01-02,28.73
2018-01-03,28.74
2018-01-04,28.76
2018-01-05,28.81
2018-01-06,28.92
2018-01-07,28.99
2018-01-08,29.07
2018-01-09,29.10
2018-01-10,29.03
2018-01-11,29.04
2018-01-12,28.85
2018-01-13,28.78
2018-01-14,28.61
2018-01-15,28.65
2018-01-16,28.68
2018-01-17,28.79
2018-01-18,28.82
2018-01-19,29.03
2018-01-20,29.01
2018-01-21,29.20
2018-01-22,29.00
2018-01-23,28.99
2018-01-24,28.99
2018-01-25,28.93
2018-01-26,28.68
2018-01-27,28.58
2018-01-28,28.54
2018-01-29,28.69
2018-01-30,28.64
